,יום מכירה,כתובת,גוש חלקה - תת חלקה,סוג נכס,חדרים,קומה,"מ""ר",סכום,מגמת שינוי
0,13.04.2022,פרנק צבי 48,3929-794-16,דירה בבית קומות,2,רביעית,36,"1,380,000",NaN
1,24.03.2022,פינס 2,3928-116-7,דירה בבית קומות,2,שלישית,69.61,"1,560,000",NaN
2,15.03.2022,הרצל 93,3925-674-30,דירה בבית קומות,2,רביעית,37.52,"1,121,000",10% ב 7 שנים
3,10.03.2015,הרצל 93,3925-674-30,דירה בבית קומות,2,רביעית,37.52,"1,010,000",10% ב 7 שנים
4,14.07.2014,הרצל 93,3925-674-30,דירה בבית קומות,2,רביעית,37.52,"936,000",10% ב 7 שנים
5,13.03.2022,מונטיפיורי 8,3928-350-4,דירה בבית קומות,2,ראשונה,46.35,"650,000",NaN
6,03.03.2022,התוף 7,5183-42-84,דירה בבית קומות,2,ראשונה,51.40,"1,730,000",15% ב 4.5 שנים
7,17.09.2017,התוף 7,5183-42-84,דירה בבית קומות,2,ראשונה,51.40,"1,495,000",15% ב 4.5 שנים
8,01.04.2011,התוף 7,5183-42-84,דירה בבית קומות,2,ראשונה,51.40,"980,000",15% ב 4.5 שנים
9,23.05.2000,התוף 7,5183-42-84,דירה בבית קומות,2,ראשונה,51.40,"465,000",15% ב 4.5 שנים
10,01.03.2022,דרור 20,3933-78-11,דירה בבית קומות,2,שניה,58.60,"670,000",NaN
11,27.02.2022,אש שלום 18,7282-60-3,דירה בבית קומות,2,שניה,35,"600,000",NaN
12,15.02.2022,נורדאו 10,3935-101-6,דירה בבית קומות,2,שניה,47.92,"700,000",NaN
13,08.02.2022,אש שלום 4,7282-49-1,דירה בבית קומות,2,ראשונה,40.60,"1,490,000",NaN
14,03.02.2022,אנילביץ 27,7282-69-14,דירה בבית קומות,2,שלישית,35,"677,000",NaN
15,03.02.2022,עטרות 20,3930-478-2,דירה בבית קומות,2,ראשונה,42,"753,000",NaN
16,01.02.2022,התומר 5,3926-57-10,דירה בבית קומות,2,שלישית,55.84,"1,610,000",21% ב 3.6 שנים
17,18.06.2018,התומר 5,3926-57-10,דירה בבית קומות,2,שלישית,55.84,"1,325,000",21% ב 3.6 שנים
18,31.01.2022,רוטנברג 13,3934-162-12,NaN,2,רביעית,52.03,"1,340,000",NaN
19,27.01.2022,אלרואי 20,3929-795-7,דירה בבית קומות,2,שניה,36,"1,270,000",24% ב 3.8 שנים
20,01.03.2018,אלרואי 20,3929-795-7,דירה בבית קומות,2,שניה,36,"1,017,000",24% ב 3.8 שנים
21,25.01.2022,תדהר דוד 4,7281-26-26,דירה בבית קומות,2,שלישית,35.20,"1,550,000",NaN
22,24.01.2022,שניאור זלמן 38,7281-40-3,דירה בבית קומות,2,ראשונה,40.70,"1,400,000",201% ב 13.5 שנים
23,20.01.2022,יהודה לייב 10,3932-135-15,דירה בבית קומות,2,שלישית,54.62,"1,550,000",40% ב 2.4 שנים
24,26.08.2019,יהודה לייב 10,3932-135-15,דירה בבית קומות,2,שלישית,54.62,"1,100,000",40% ב 2.4 שנים
25,17.10.1999,יהודה לייב 10,3932-135-15,דירה בבית קומות,2,שלישית,54.62,"400,000",40% ב 2.4 שנים
26,04.01.2022,גורדון 30,3945-535-7,דירה בבית קומות,2,ראשונה,54.91,"1,660,000",27% ב 4.7 שנים
27,20.04.2017,גורדון 30,3945-535-7,דירה בבית קומות,2,ראשונה,54.91,"1,300,000",27% ב 4.7 שנים
28,21.01.2007,גורדון 30,3945-535-7,דירה בבית קומות,2,ראשונה,54.91,"536,000",27% ב 4.7 שנים
29,30.12.2021,אנילביץ 25,7282-72-9,דירה בבית קומות,2,שניה,35,"635,000",NaN
30,29.12.2021,התומר 15,3926-82-6,דירה בבית קומות,2,ראשונה,45.60,"1,485,000",48% ב 7.7 שנים
31,13.03.2014,התומר 15,3926-82-6,דירה בבית קומות,2,ראשונה,45.60,"1,000,000",48% ב 7.7 שנים
32,22.11.2013,התומר 15,3926-82-6,דירה בבית קומות,2,ראשונה,45.60,"855,000",48% ב 7.7 שנים
33,23.11.2012,התומר 15,3926-82-6,דירה בבית קומות,2,ראשונה,45.60,"855,000",48% ב 7.7 שנים
34,15.12.2006,התומר 15,3926-82-6,דירה בבית קומות,2,ראשונה,45.60,"417,000",48% ב 7.7 שנים
35,24.12.2021,טיומקין 17,3925-293-1,דירה בבית קומות,2,קרקע,33.80,"1,200,000",4% ב 3.1 שנים
36,08.10.2018,טיומקין 17,3925-293-1,דירה בבית קומות,2,קרקע,33.80,"1,150,000",4% ב 3.1 שנים
37,03.06.2010,טיומקין 17,3925-293-1,דירה בבית קומות,2,קרקע,33.80,"740,000",4% ב 3.1 שנים
38,26.03.2002,טיומקין 17,3925-293-1,דירה בבית קומות,2,קרקע,33.80,"312,000",4% ב 3.1 שנים
39,19.12.2021,עין הקורא 34,3928-301-18,דירה בבית קומות,2,שלישית,43.01,"1,490,000",27% ב 3.6 שנים
40,23.04.2018,עין הקורא 34,3928-301-18,דירה בבית קומות,2,שלישית,43.01,"1,170,000",27% ב 3.6 שנים
41,02.06.2008,עין הקורא 34,3928-301-18,דירה בבית קומות,2,שלישית,43.01,"595,000",27% ב 3.6 שנים
42,03.10.2002,עין הקורא 34,3928-301-18,דירה בבית קומות,2,שלישית,43.01,"520,000",27% ב 3.6 שנים
43,16.12.2021,לוין אשר 5,3933-206-39,דירה בבית קומות,2,שניה,48.57,"655,000",35% ב 8.1 שנים
44,04.10.2013,לוין אשר 5,3933-206-39,דירה בבית קומות,2,שניה,48.57,"970,000",35% ב 8.1 שנים
45,15.12.2021,סנש חנה 3,7281-57-34,דירה בבית קומות,2,רביעית,35.20,"534,000",NaN
46,09.12.2021,ויצברד 5,3933-363-30,דירה בבית קומות,2,רביעית,59.64,"1,370,000",NaN
47,24.11.2021,וקסלר משה 4,3935-127-15,דירה בבית קומות,2,רביעית,47.30,"662,500",NaN
48,24.11.2021,הרב ברוק 8,3930-446-22,דירה בבית קומות,2,ראשונה,54,"1,345,000",NaN
49,24.11.2021,ירושלים 50,3930-346-15,דירה בבית קומות,2,רביעית,46.30,"1,365,000",4% ב 1.4 שנים
50,29.06.2020,ירושלים 50,3930-346-15,דירה בבית קומות,2,רביעית,46.30,"1,310,000",4% ב 1.4 שנים
51,24.12.2017,ירושלים 50,3930-346-15,דירה בבית קומות,2,רביעית,46.30,"1,280,000",4% ב 1.4 שנים
52,24.05.2016,ירושלים 50,3930-346-15,דירה בבית קומות,2,רביעית,46.30,"880,000",4% ב 1.4 שנים
53,23.11.2021,נהריים 17,3930-477-12,דירה בבית קומות,2,שניה,40.79,"750,000",NaN
54,03.06.2004,נהריים 17,3930-477-12,דירה בבית קומות,2,שניה,40.79,"295,000",NaN
55,23.11.2021,נהריים 17,3930-477-10,דירה בבית קומות,2,ראשונה,40.79,"1,562,000",NaN
56,21.11.2021,בצלאל 15,3935-80-15,דירה בבית קומות,2,שלישית,53.30,"665,000",137% ב 14.4 שנים
57,06.06.2007,בצלאל 15,3935-80-15,דירה בבית קומות,2,שלישית,53.30,"561,000",137% ב 14.4 שנים
58,21.10.2001,בצלאל 15,3935-80-15,דירה בבית קומות,2,שלישית,53.30,"446,000",137% ב 14.4 שנים
59,10.05.1999,בצלאל 15,3935-80-15,דירה בבית קומות,2,שלישית,53.30,"504,000",137% ב 14.4 שנים
60,18.11.2021,אריאב חיים 11,7281-149-7,דירה בבית קומות,2,ראשונה,35.20,"652,000",NaN
61,15.11.2021,ירושלים 5,3932-206-12,דירה בבית קומות,2,ראשונה,51.77,"1,250,000",13% ב 2.3 שנים
62,25.07.2019,ירושלים 5,3932-206-12,דירה בבית קומות,2,ראשונה,51.77,"1,100,000",13% ב 2.3 שנים
63,11.11.2021,הרצל 93,3925-674-117,דירה בבית קומות,2,אחת עשרה,37.26,"1,420,000",NaN
64,07.11.2021,הרב נריה 9,5116-28-2,דירה בבית קומות,2,ראשונה,41.36,"1,530,000",54% ב 10.2 שנים
65,16.08.2011,הרב נריה 9,5116-28-2,דירה בבית קומות,2,ראשונה,41.36,"990,000",54% ב 10.2 שנים
66,07.12.2000,הרב נריה 9,5116-28-2,דירה בבית קומות,2,ראשונה,41.36,"965,000",54% ב 10.2 שנים
67,04.11.2021,"בית""ר 4",3928-508-10,דירה בבית קומות,2,שניה,46.78,"1,390,000",26% ב 2.5 שנים
68,16.04.2019,"בית""ר 4",3928-508-10,דירה בבית קומות,2,שניה,46.78,"1,099,000",26% ב 2.5 שנים
69,03.11.2021,נחמה 21,3932-94-4,דירה בבית קומות,2,ראשונה,63.25,"1,450,000",52% ב 1 שנים
70,04.11.2020,נחמה 21,3932-94-4,דירה בבית קומות,2,ראשונה,63.25,"950,000",52% ב 1 שנים
71,02.11.2021,אריאב חיים 2,7281-14-10,דירה בבית קומות,2,שלישית,36.20,"1,400,000",NaN
